"Item","Initial","Extraction","Status"
"RS1",0.822,0.822,"Memadai"
"RS2",0.686,0.686,"Memadai"
"RS3",0.615,0.615,"Memadai"
"RS4",0.714,0.714,"Memadai"
"RL1",0.702,0.702,"Memadai"
"RL2",0.633,0.633,"Memadai"
"RL3",0.713,0.713,"Memadai"
"RL4",0.745,0.745,"Memadai"
"CR1",0.648,0.648,"Memadai"
"CR2",0.688,0.688,"Memadai"
"CR3",0.685,0.685,"Memadai"
"CR4",0.649,0.649,"Memadai"
"EM1",0.675,0.675,"Memadai"
"EM2",0.606,0.606,"Memadai"
"EM3",0.629,0.629,"Memadai"
"EM4",0.734,0.734,"Memadai"
"CT1",0.682,0.682,"Memadai"
"CT2",0.588,0.588,"Memadai"
"CT3",0.638,0.638,"Memadai"
"CT4",0.635,0.635,"Memadai"
"AT1",0.751,0.751,"Memadai"
"AT2",0.548,0.548,"Memadai"
"AT3",0.678,0.678,"Memadai"
"AT4",0.716,0.716,"Memadai"
"ITA1",0.758,0.758,"Memadai"
"ITA2",0.702,0.702,"Memadai"
"ITA3",0.714,0.714,"Memadai"
"ITA4",0.811,0.811,"Memadai"
"ITA5",0.669,0.669,"Memadai"
