"Construct","Item","N","Mean","StdDev","Min","Max","Skewness","Kurtosis","MeanStatus"
"Responsiveness","RS1",336,5.61,1.039,1,7,-0.938,1.201,"Tinggi"
"Responsiveness","RS2",336,5.613,1.106,2,7,-0.781,0.182,"Tinggi"
"Responsiveness","RS3",336,5.601,1.198,2,7,-0.821,0.516,"Tinggi"
"Responsiveness","RS4",336,5.607,1.154,1,7,-1.08,1.457,"Tinggi"
"Reliability","RL1",336,5.533,1.098,1,7,-0.704,0.582,"Tinggi"
"Reliability","RL2",336,5.336,1.124,1,7,-0.672,0.474,"Tinggi"
"Reliability","RL3",336,5.577,1.093,2,7,-0.615,0.401,"Tinggi"
"Reliability","RL4",336,5.521,1.079,2,7,-0.374,-0.349,"Tinggi"
"Credibility","CR1",336,5.47,1.039,1,7,-1.027,1.891,"Tinggi"
"Credibility","CR2",336,5.548,1.038,1,7,-1.012,1.524,"Tinggi"
"Credibility","CR3",336,5.577,1.146,1,7,-1.18,2.019,"Tinggi"
"Credibility","CR4",336,5.533,1.016,2,7,-0.847,1.073,"Tinggi"
"Empathy","EM1",336,5.604,1.02,1,7,-0.754,1.063,"Tinggi"
"Empathy","EM2",336,5.646,1.075,1,7,-0.875,1.07,"Tinggi"
"Empathy","EM3",336,5.622,1.08,1,7,-0.712,0.568,"Tinggi"
"Empathy","EM4",336,5.655,1.068,2,7,-0.94,1.197,"Tinggi"
"Cognitive Trust","CT1",336,5.548,0.961,3,7,-0.487,0.051,"Tinggi"
"Cognitive Trust","CT2",336,5.542,1.01,2,7,-0.573,0.231,"Tinggi"
"Cognitive Trust","CT3",336,5.568,1.04,1,7,-0.69,0.881,"Tinggi"
"Cognitive Trust","CT4",336,5.557,1.052,2,7,-0.639,0.376,"Tinggi"
"Affective Trust","AT1",336,5.53,1.028,1,7,-0.763,1.184,"Tinggi"
"Affective Trust","AT2",336,5.515,1.01,1,7,-0.586,0.581,"Tinggi"
"Affective Trust","AT3",336,5.542,1.081,1,7,-0.602,0.378,"Tinggi"
"Affective Trust","AT4",336,5.542,1.086,1,7,-0.733,0.814,"Tinggi"
"Digital Health Service Intention to Adopt","ITA1",336,5.708,1.176,1,7,-1.321,2.373,"Tinggi"
"Digital Health Service Intention to Adopt","ITA2",336,5.676,1.184,1,7,-1.507,3.254,"Tinggi"
"Digital Health Service Intention to Adopt","ITA3",336,5.616,1.135,1,7,-1.008,1.291,"Tinggi"
"Digital Health Service Intention to Adopt","ITA4",336,5.744,1.154,1,7,-1.178,1.744,"Tinggi"
"Digital Health Service Intention to Adopt","ITA5",336,5.655,1.098,2,7,-0.908,0.637,"Tinggi"
