"Construct","Item","ItemMean","ItemStdDev","ScaleMeanIfItemDeleted","ScaleVarianceIfItemDeleted","RawItemTotalCorr","CorrectedItemTotalCorr","CorrectedItemTotalStatus","CronbachAlphaIfItemDeleted","AlphaIfDeletedStatus"
"Responsiveness","RS1",5.61,1.039,16.821,9.335,0.897,0.821,"Kuat",0.859,"Terpenuhi"
"Responsiveness","RS2",5.613,1.106,16.818,9.218,0.873,0.773,"Kuat",0.874,"Terpenuhi"
"Responsiveness","RS3",5.601,1.198,16.83,8.864,0.866,0.748,"Kuat",0.885,"Terpenuhi"
"Responsiveness","RS4",5.607,1.154,16.824,8.915,0.882,0.781,"Kuat",0.871,"Terpenuhi"
"Reliability","RL1",5.533,1.098,16.435,8.557,0.879,0.78,"Kuat",0.865,"Terpenuhi"
"Reliability","RL2",5.336,1.124,16.631,8.616,0.859,0.742,"Kuat",0.88,"Terpenuhi"
"Reliability","RL3",5.577,1.093,16.39,8.573,0.88,0.782,"Kuat",0.865,"Terpenuhi"
"Reliability","RL4",5.521,1.079,16.446,8.624,0.882,0.787,"Kuat",0.863,"Terpenuhi"
"Credibility","CR1",5.47,1.039,16.658,7.897,0.857,0.743,"Kuat",0.85,"Terpenuhi"
"Credibility","CR2",5.548,1.038,16.58,7.88,0.86,0.748,"Kuat",0.848,"Terpenuhi"
"Credibility","CR3",5.577,1.146,16.551,7.299,0.877,0.76,"Kuat",0.844,"Terpenuhi"
"Credibility","CR4",5.533,1.016,16.595,8.063,0.848,0.732,"Kuat",0.854,"Terpenuhi"
"Empathy","EM1",5.604,1.02,16.923,7.946,0.857,0.745,"Kuat",0.846,"Terpenuhi"
"Empathy","EM2",5.646,1.075,16.881,7.813,0.845,0.716,"Kuat",0.857,"Terpenuhi"
"Empathy","EM3",5.622,1.08,16.905,7.716,0.854,0.731,"Kuat",0.852,"Terpenuhi"
"Empathy","EM4",5.655,1.068,16.872,7.569,0.88,0.777,"Kuat",0.834,"Terpenuhi"
"Cognitive Trust","CT1",5.548,0.961,16.667,7.118,0.854,0.742,"Kuat",0.824,"Terpenuhi"
"Cognitive Trust","CT2",5.542,1.01,16.673,7.075,0.833,0.699,"Kuat",0.84,"Terpenuhi"
"Cognitive Trust","CT3",5.568,1.04,16.646,6.868,0.846,0.715,"Kuat",0.834,"Terpenuhi"
"Cognitive Trust","CT4",5.557,1.052,16.658,6.763,0.855,0.727,"Kuat",0.829,"Terpenuhi"
"Affective Trust","AT1",5.53,1.028,16.598,7.614,0.886,0.792,"Kuat",0.836,"Terpenuhi"
"Affective Trust","AT2",5.515,1.01,16.613,8.208,0.815,0.68,"Kuat",0.878,"Terpenuhi"
"Affective Trust","AT3",5.542,1.081,16.586,7.497,0.871,0.76,"Kuat",0.848,"Terpenuhi"
"Affective Trust","AT4",5.542,1.086,16.586,7.431,0.877,0.768,"Kuat",0.845,"Terpenuhi"
"Digital Health Service Intention to Adopt","ITA1",5.708,1.176,22.69,16.435,0.893,0.827,"Kuat",0.909,"Terpenuhi"
"Digital Health Service Intention to Adopt","ITA2",5.676,1.184,22.723,16.553,0.879,0.804,"Kuat",0.914,"Terpenuhi"
"Digital Health Service Intention to Adopt","ITA3",5.616,1.135,22.783,16.905,0.876,0.805,"Kuat",0.914,"Terpenuhi"
"Digital Health Service Intention to Adopt","ITA4",5.744,1.154,22.655,16.471,0.903,0.844,"Kuat",0.906,"Terpenuhi"
"Digital Health Service Intention to Adopt","ITA5",5.655,1.098,22.744,17.355,0.858,0.781,"Kuat",0.918,"Terpenuhi"
